CLAVE,DESCRIPCIÓN
ABRA-001,"ABRAZADERA OMEGA GALV. 1/2"""
ABRA-002,"ABRAZADERA OMEGA GALV. 2"""
ABRA-003,"ABRAZADERA TIPO OMEGA DE 3/4"""
ABRA-004,ABRAZADERA TIPO UÑAS INDUSTRIALES PARED DELGADA 2 X1/4
ABRA-005,"ABRAZADERA SINFIN 7/16"""
ABRA-010,ABRAZADERA SINFIN #4 (6-12MM)
ABRA-011,"ABRAZADERA SINFIN GATES #12 (3/4"")"
ACEI-001,ACEITE CASTROL HYSPIN AWS 68
ACEI-002,ACEITE CASTROL HYSPIN SPINDLE OIL 2
ACEI-003,ACEITE HIDRAULICO 220
ACEI-004,ACEITE HIDRAULICO ISO 150 32
ACEI-005,ACEITE MOBIL DTE 24 CODIGO 122690
ACEI-006,ACEITE MOBIL VACTRA N° 2
ACEI-007,ACEITE OSOCO VISCOUS-2
ACEI-008,ACEITE LUBRICANTE SEMISINTETICO PM460
ACEI-009,ACEITE TELLUS S2 MX 32
ACEI-010,ACEITE HIDRAHULICO Y TRANSMISION DE POTENCIA TELLUS S2 MX 46 (ISO VG 46)
ACEI-011,ACEITE MOBIL DTE OIL MED PAIL 5USG
ACEI-012,ACEITERA MIKEL´S 500 ml MANGUERA FLEXIBLE
ACEI-013,ACEITE MOBIL VELOCITE NO 3 DRUM 55USG EXPORT
ACEI-014,ACEITE MOBIL DTE OIL LIGHT DRUM
ACEI-015,ACEITE TONNA S2 MX 68
ADAP-001,ADAPTADOR DIFUSOR TIPO MILLER M-25 #169728
ADAP-002,ADAPTADOR NOZZLE TIPO MILLER M-25 #169729
ADAP-003,ADAPTADOR DIFUSOR 45 AMP #220670
ADAP-004,"DIFUSOR D-M250 MDX250 MILLER
SKU: 3066"
ADAP-005,"DIFUSOR MILLERMATIC 140,180, DVI, PASSPORT #169716 
MILLER 
SKU: 395"
ADAP-006,Difusor WLD*WM-K54A5
ADHE-001,ADHESIVO ESTRUCTURAL 20251 330 MCA. LOCTITE
ADHE-002,LOCTITE 242 - AZUL
ADHE-003,LOCTITE 262 - ROJO
ADHE-004,LOCTITE 290 -VERDE
ADIT-001,ADITIVO ANTIFOAM HANGSTERFER'S CLAVE H-7
AGAR-001,AGARRA PAPEL 32MM
AGAR-002,AGARRA PAPEL 41MM
ALAM-001,ALAMBRE MCA. 3G 0.25MM 900 N/MM 8KG
ALCO-001,ALCOHOL ISOPROPILICO
ANILM001,ANILLO DE RETENCION P/EXT. SEGURO OM 25mm.
ANILM002,ANILLO DE RETENCION P/EXT. SEGURO OM 38mm.
ANILM003,ANILLO DE RETENCION P/EXT. SEGURO OM 40mm.
ANILM004,ANILLO DE RETENCION P/EXT. SEGURO OM 68mm.
ANILM005,ANILLO DE RETENCION P/EXT. SEGURO OM 20mm.
ANILM006,ANILLO DE RETENCION P/EXT. SEGURO OM 12mm.
ANILM007,ANILLO DE RETENCION P/EXT. SEGURO OM 30mm.
ANILM008,ANILLO DE RETENCION P/EXT. SEGURO OM 65mm.
ANILM009,ANILLO DE RETENCION P/EXT. SEGURO OM 28MM
ANILM012,ANILLO DE RETENCION P/EXT. SEGURO OM 40mm.
ANILM024,ANILLO DE RETENCION P/EXT. SEGURO OM 11mm.
ANILM025,ANILLO DE RETENCION P/EXT. SEGURO OM 19mm.
ANILM027,ANILLO DE RETENCION P/INT. SEGURO OM 72mm.
ANILM101,ANILLO DE RETENCION P/INT. SEGURO OM 42mm.
ANILM102,ANILLO DE RETENCION P/INT. SEGURO OM 48mm.
ANILM103,ANILLO DE RETENCION P/INT. SEGURO OM 52mm.
ANILM104,ANILLO DE RETENCION P/INT. SEGURO OM 62mm.
ANILM105,ANILLO DE RETENCION P/INT. SEGURO OM 65mm.
ANILM106,ANILLO DE RETENCION P/INT. SEGURO OM 70mm.
ANILM107,ANILLO DE RETENCION P/INT. SEGURO OM 76mm.
ANILM108,ANILLO DE RETENCION P/INT. SEGURO OM 46mm.
ANILM109,ANILLO DE RETENCION P/INT. SEGURO OM 47mm.
ANILM110,ANILLO DE RETENCION P/INT. SEGURO OM 12mm.
ANILM111,ANILLO DE RETENCION P/INT. SEGURO OM 110mm.
ANILM112,ANILLO DE RETENCION P/INT. SEGURO OM 28MM
ANILS001,"ANILLO DE RETENCION P/EXT. SEGURO OM 9/16"""
ANILS002,"ANILLO DE RETENCION P/EXT. SEGURO OM 19/32"""
